blink_signal_energy_mean_EEG-E8,blink_signal_energy_std_EEG-E8,blink_signal_energy_cv_EEG-E8,teager_kaiser_energy_mean_EEG-E8,teager_kaiser_energy_std_EEG-E8,teager_kaiser_energy_cv_EEG-E8,blink_line_length_mean_EEG-E8,blink_line_length_std_EEG-E8,blink_line_length_cv_EEG-E8,blink_velocity_integral_mean_EEG-E8,blink_velocity_integral_std_EEG-E8,blink_velocity_integral_cv_EEG-E8
4.692192309704856e-09,0.0,0.0,6.513547234668297e-10,0.0,0.0,0.0007670080720322593,0.0,0.0,0.000575777821135002,0.0,0.0
1.3622801816022e-09,1.1285809879550488e-09,0.8284499790841163,2.517130887602427e-10,1.3866508405865078e-10,0.5508854733840622,0.0003948257665829914,0.0001166397336812342,0.29542077430936065,0.00026521920643494246,8.313569368084387e-05,0.3134603062815393
8.904325117261712e-10,5.056329176209985e-10,0.5678509162258581,9.407338726924767e-11,2.2810723072599297e-11,0.24247796039609665,0.0002589850629819379,3.720621089030317e-05,0.14366160913650067,0.00020986174438908703,4.210191210138621e-05,0.20061737418578104
3.698696917166398e-09,4.446169152650772e-09,1.2020906963247528,3.2095507782690435e-10,3.3920353001123103e-10,1.0568567174817167,0.0004466915694302115,0.0003792941130084202,0.8491185841994694,0.0004039999551364122,0.00034786709669830856,0.8610572656644229
2.7326881234339054e-09,4.673402082963506e-09,1.71018494312878,2.466569650478067e-10,3.1614689028805943e-10,1.2817269937087903,0.00028067166363822713,0.00019420106831559105,0.6919154780295431,0.00022462498771377116,0.00017603522924149038,0.7836849810574219
9.210948118400403e-10,1.9496804807850457e-10,0.21166990148280546,1.803442812849123e-10,1.013908541090889e-10,0.5622072038364729,0.00038854758423390853,0.00013018877433667363,0.33506520081282765,0.00028520493374219473,5.525595952123128e-05,0.193741247026178
9.916320539004581e-10,8.621530402694255e-10,0.8694283700070571,1.446346530523517e-10,1.1764376100806807e-10,0.8133857172214873,0.0002782125872566909,0.00012368518378643256,0.44457076872771145,0.00022083003510044467,8.88336977625273e-05,0.40227180927685513
1.9154984374010998e-09,3.883854692801189e-10,0.2027594811338351,1.839202836250176e-10,2.30910577634288e-11,0.12554927226247414,0.00029278521705189766,3.855564297040187e-05,0.1316857570837249,0.00023575167267976977,2.692738368065148e-05,0.11421926883729026
2.3352744649935462e-09,1.935111840767313e-09,0.8286442856183334,3.0530166445318656e-10,2.9856828890351023e-10,0.9779451724846105,0.0006248509328881959,0.000781859141921955,1.2512730649341168,0.00045030537784752136,0.0005223664198479443,1.1600270517418152
1.9054451763352114e-09,0.0,0.0,1.2419649760214267e-10,0.0,0.0,0.00025123296662220984,0.0,0.0,0.00022600941346349597,0.0,0.0
,,,,,,,,,,,
8.634414948359449e-10,1.018580388014663e-09,1.17967504933058,1.2387865399597295e-10,1.0156915553299631e-10,0.8199084528017081,0.00023918031382549158,0.00015730557451089483,0.6576861280718387,0.0001827691408914265,0.00012756950459412745,0.6979816394164141
,,,,,,,,,,,
7.86954948297242e-10,0.0,0.0,6.164653454968968e-11,0.0,0.0,0.00010153356595825054,0.0,0.0,0.00010153356595825054,0.0,0.0
1.7437587367580163e-09,1.693278152634792e-09,0.971050706121721,2.1241220072189225e-10,1.3026305012159755e-10,0.6132559696613133,0.000344819529039706,0.00010632673863211123,0.3083547469837989,0.00025504910453564753,9.655681439817668e-05,0.37858127192397645
4.66425670790747e-09,4.330743508494228e-09,0.9284959597425617,4.821730975093772e-10,5.145795745677512e-10,1.0672092184855744,0.0005601414842096461,0.00047115425221763696,0.8411343660475902,0.0004501468902960631,0.00040448355418387926,0.8985590324035095
1.8160612976925224e-09,2.158165721294176e-09,1.1883771346464624,2.570520242158239e-10,2.641931371680721e-10,1.027780808083629,0.0003302467290452491,0.00023305482467840736,0.7056991157858677,0.00024140074338552635,0.0001795192313670217,0.743656497694883
6.897461605030025e-10,5.721121931015393e-10,0.8294532479663566,1.3496543734977986e-10,8.885735113875524e-11,0.6583711569686561,0.000268771207035247,8.069379379395232e-05,0.30023228560851767,0.00018689679690041402,5.303325283887751e-05,0.2837568846465342
