candidate_id,blink_type,coarse_onset_time,coarse_offset_time,coarse_duration,refined_onset_time,refined_offset_time,refined_duration,onset_offset_seconds,offset_offset_seconds,refined_start_sample,refined_end_sample,refined_lowest_point_sample,coarse_start_sample,coarse_end_sample,threshold_crossing_found,refined_left_threshold,refined_right_threshold,search_window_start_sample,search_window_end_sample,search_window_start_time,search_window_end_time,refinement_succeeded,search_exhausted,extension_seconds_used,extension_attempts,left_interpolated_threshold,right_interpolated_threshold,left_interpolated_threshold_sample,right_interpolated_threshold_sample,left_interpolated_threshold_found,right_interpolated_threshold_found,interpolated_thresholds_found,refinement_used_outward_extension,refinement_fallback_to_coarse,threshold_value,threshold_index,blink_type_original,ear_mean,ear_median,ear_std,ear_var,ear_mad,ear_iqr,ear_skewness,ear_kurtosis,ear_min,ear_max,ear_time_of_min,ear_baseline,ear_blink_depth,max_closing_speed,max_opening_speed,max_negative_slope,max_positive_slope,mean_closing_slope,mean_reopening_slope,max_negative_acceleration,max_positive_acceleration,time_to_close,time_to_reopen,ear_p5,ear_p10,ear_p90,ear_p95,closed_duration_seconds,closed_fraction,time_under_threshold_seconds,time_under_threshold_fraction,auc_below_threshold,classification_threshold,blink_classification,blink_classification_computed,ear_threshold_closing_slope,ear_threshold_opening_slope,refined_closing_slope,refined_opening_slope,interpolated_closing_slope,interpolated_opening_slope
10,HB_CL,414.988889,415.288889,0.3,415.08,415.36,0.28,0.09111100000001215,0.07111100000003034,41508,41536,41514.0,41499,41529,True,41508,41536,41489,41539,414.89,415.39,True,False,0.1,1,415.07946156575235,415.35516455856987,41508.0,41536.0,True,True,True,True,False,0.26,0,HB_CL,0.25302130592112637,0.2536329925060272,0.03206613655386044,0.0010282371134908248,0.02891254425048828,0.05165478587150574,-0.27011097684808694,1.7608880734946926,0.19991371035575867,0.3005426824092865,415.14,0.2853812003135681,0.08546748995780945,-1.430290937423706,1.285719871520996,-1.430290937423706,1.285719871520996,-0.930759630032948,0.31468194463978644,-42.11492836475372,64.19189274311066,0.06,0.22,0.20274299383163452,0.20461596846580504,0.28925658464431764,0.29527699351310727,0.28,0.9655172413793104,0.28,0.9655172413793104,0.008541189122200013,0.26,HB_CL,full,-0.9910052021344503,0.30137869444760407,-0.9910052021344503,0.30137869444760407,-0.9925312801857101,0.27925737418658747
11,B_CL,424.366667,424.8,0.433333,424.42,424.71,0.29,0.05333300000000918,-0.09000000000003183,42442,42471,42453.0,42437,42480,True,42442,42471,42432,42485,424.32,424.85,True,False,0.0,0,424.4101216559935,424.7008584875613,42441.0,42470.0,True,True,True,False,False,0.26,0,B_CL,0.22948516756296158,0.2512285113334656,0.06489944698357009,0.004211938218773224,0.044231489300727844,0.1274733878672123,-0.48168999470635043,1.8060517731278316,0.10572441667318344,0.3119331896305084,424.53,0.3030692410469055,0.19734482437372208,-1.793701946735382,2.011006325483322,-1.793701946735382,2.011006325483322,-1.2718702666461468,0.8369122092661104,-55.21208047866821,90.9644179046154,0.11,0.18,0.11608888618648053,0.1331152692437172,0.2991320490837097,0.305061899125576,0.29,0.9666666666666667,0.29,0.9666666666666667,0.021562648051977162,0.26,B_CL,full,-1.3698654418641871,0.8907311906417211,-1.3698654418641871,0.8907311906417211,-1.2869345552397158,0.9029436320596151
12,B_CL,485.208333,485.477777,0.269444,485.21,485.23,0.02,0.0016669999999976426,-0.24777699999998504,48521,48523,48522.0,48521,48548,True,48521,48523,48516,48553,485.16,485.53,True,False,0.0,0,485.2069070133473,485.225749779556,48521.0,48523.0,True,True,True,False,False,0.26,0,B_CL,0.25488996311374335,0.2576608955860138,0.01815305531848387,0.0003295334173959355,0.015401661396026611,0.02356588840484619,-0.5572864214506582,2.1999535611595955,0.2563038170337677,0.2798376679420471,485.22,0.2641585832834244,0.007854766249656697,-0.13570785522460938,0.6428390741348267,-0.13570785522460938,0.6428390741348267,0.058928877115249634,0.44820234179496765,38.9273464679718,38.9273464679718,0.01,0.01,0.22298363894224166,0.22624111473560332,0.2760554552078247,0.27719677090644834,0.02,0.6666666666666666,0.02,0.6666666666666666,6.035287380218524e-05,0.26,B_CL,full,-0.13570785522460938,0.6428390741348267,-0.13570785522460938,0.6428390741348267,-0.2823025077673721,0.6428390741336684
13,HB_CL,527.280556,527.647223,0.366667,527.36,527.68,0.32,0.07944399999996676,0.03277699999989636,52736,52768,52742.0,52728,52765,True,52736,52768,52723,52770,527.23,527.7,True,False,0.0,0,527.3538735478812,527.6787480491147,52735.0,52768.0,True,True,True,False,False,0.26,0,HB_CL,0.22305122397418292,0.24292047321796417,0.05483761953074775,0.003007164515799047,0.026469483971595764,0.07721996307373047,-0.8955888571197046,2.48291530304822,0.10599464923143387,0.28614839911460876,527.42,0.2757618498802185,0.16976720064878464,-3.5073965787887573,1.2178711593151093,-3.5073965787887573,1.2178711593151093,-2.2502521319048747,0.5872535070887318,-66.0194456577301,101.93025693297386,0.06,0.26,0.11196719706058503,0.12571721374988556,0.275815749168396,0.2802138864994049,0.32,0.9696969696969697,0.32,0.9696969696969697,0.02169543727934361,0.26,HB_CL,full,-2.3928849647442503,0.5975641596775788,-2.3928849647442503,0.5975641596775788,-2.3289522699937346,0.595194248982647
14,B_CL,538.1,538.4333330000001,0.333333,538.05,538.09,0.04,-0.05000000000006821,-0.34333300000002964,53805,53809,53806.0,53810,53843,True,53805,53809,53805,53848,538.05,538.48,True,False,0.0,0,,,,,False,False,False,False,False,0.26,0,B_CL,0.2215495929121971,0.2438533455133438,0.06444499568942394,0.00415315746940987,0.010640934109687805,0.020133942365646362,-1.4901989050679445,3.9429698225109284,0.24298349022865295,0.29223406314849854,538.06,0.26042896270751953,0.017445472478866575,-0.17997026443481445,1.446700096130371,-0.17997026443481445,1.446700096130371,-0.09669512510299683,0.7610708475112915,16.655027866363525,57.11570382118225,0.01,0.03,0.07180957198143005,0.10177854895591737,0.2766628861427307,0.28579399585723875,0.04,0.8,0.04,0.8,0.0005509284973144535,0.26,B_CL,full,-0.17997026443481445,0.8036394913991293,-0.17997026443481445,0.8036394913991293,,
15,HB_CL,572.5,572.9,0.4,572.49,572.5,0.01,-0.009999999999990905,-0.39999999999997726,57249,57250,57249.0,57250,57290,True,57249,57250,57245,57295,572.45,572.95,True,False,0.0,0,572.4886655130339,572.490287018967,57249.0,57249.0,True,True,True,False,False,0.26,0,HB_CL,0.23364111273126167,0.27230265736579895,0.07090190053241249,0.005027079499108115,0.015398994088172913,0.10196462646126747,-0.9580147472311554,2.1761047155590045,0.25971317291259766,0.29974234104156494,572.49,0.28242952704429625,0.02271635413169859,0.9993314743041992,0.9993314743041992,0.9993314743041992,0.9993314743041992,0.9993314743041992,0.9993314743041992,0.0,0.0,0.0,0.01,0.10229860730469227,0.11640800759196282,0.29062762558460237,0.2982666328549385,0.01,0.5,0.01,0.5,2.8682708740235265e-06,0.26,HB_CL,full,,0.9993314743041992,,0.9993314743041992,-0.21493434906617104,0.999331474102855
16,HB_M,598.966667,599.4,0.433333,599.02,599.25,0.23,0.053332999999952335,-0.14999999999997726,59902,59925,59915.0,59897,59940,True,59902,59925,59892,59945,598.92,599.45,True,False,0.0,0,599.0134316520459,599.241734628312,59901.0,59924.0,True,True,True,False,False,0.26,0,HB_M,0.2525062987750227,0.2581664025783539,0.02077581776713635,0.00043163460389325845,0.017750605940818787,0.03613484278321266,-0.19649568266971584,1.8193081889542535,0.21197272837162018,0.28542935848236084,599.15,0.2799516010284424,0.06797887265682223,-1.1721961200237274,1.2342847883701324,-1.1721961200237274,1.2342847883701324,-0.32073897974831717,0.5361214957453988,-73.87682795524597,71.8596950173378,0.13,0.1,0.21866098567843437,0.2261298730969429,0.2776154637336731,0.28241812288761137,0.23,0.9583333333333334,0.23,0.9583333333333334,0.005620473134517672,0.26,HB_M,full,-0.3571676520200876,0.5579574406147003,-0.3571676520200876,0.5579574406147003,-0.35167205540586094,0.5235457156378855
17,B_CL,602.833333,603.233333,0.4,602.89,603.16,0.27,0.05666699999994762,-0.07333300000004783,60289,60316,60300.0,60283,60323,True,60289,60316,60278,60328,602.78,603.28,True,False,0.0,0,602.8814121513295,603.1556349080386,60288.0,60316.0,True,True,True,False,False,0.26,0,B_CL,0.20665968752776584,0.2466009333729744,0.07432297807926225,0.0055239050705704965,0.02801945060491562,0.12941905856132507,-0.694830926701921,1.838514051913523,0.07617230713367462,0.27891087532043457,603.0,0.2828644454479218,0.20669213831424715,-3.857611119747162,1.8020138144493103,-3.857611119747162,1.8020138144493103,-1.543321708838145,1.1198065517579807,-81.71994239091873,119.52627450227737,0.11,0.16,0.08034788556396961,0.08119857609272003,0.2740244805812836,0.27517330795526507,0.27,0.9642857142857143,0.27,0.9642857142857143,0.0277089306384325,0.26,B_CL,full,-1.6111364418810064,1.1702748946845531,-1.6111364418810064,1.1702748946845531,-1.5501393686391864,1.181146923804364
18,HB_CL,622.2,622.566667,0.366667,622.26,622.49,0.23,0.05999999999994543,-0.07666700000004312,62226,62249,62237.0,62220,62257,True,62226,62249,62215,62262,622.15,622.62,True,False,0.0,0,622.257720077054,622.4810052015436,62226.0,62248.0,True,True,True,False,False,0.26,0,HB_CL,0.23726555806669322,0.2585449814796448,0.05726559264017712,0.0032793481004307072,0.03536823391914368,0.09292923659086227,-0.8522821015950275,2.6555422106295277,0.1022452563047409,0.29915085434913635,622.37,0.28748499274253847,0.18523973643779756,-2.3950286209583282,3.549575060606003,-2.3950286209583282,3.549575060606003,-1.2997385114431381,1.3037099288060114,-131.15700334310532,192.59463995695114,0.11,0.12,0.12155617326498032,0.15394890010356904,0.29573493301868437,0.29681931287050245,0.23,0.9583333333333334,0.23,0.9583333333333334,0.015202169972658159,0.26,HB_CL,full,-1.416465775533156,1.3866957277059555,-1.416465775533156,1.3866957277059555,-1.4050129315744873,1.421147311131814
19,B_CL,660.566667,661.0333340000001,0.466667,660.54,660.57,0.03,-0.026667000000088592,-0.46333400000003166,66054,66057,66055.0,66057,66104,True,66054,66057,66052,66109,660.52,661.09,True,False,0.0,0,660.5343713416752,660.5641644031807,66053.0,66056.0,True,True,True,False,False,0.26,0,B_CL,0.23131966994454464,0.2636197656393051,0.05518273566680942,0.00304513431567296,0.007413297891616821,0.05988488718867302,-1.1491619032087244,2.5710578925847947,0.2535134255886078,0.27367129921913147,660.55,0.28024704456329347,0.02673361897468568,-0.29125213623046875,0.7649332284927368,-0.29125213623046875,0.7649332284927368,-0.1359120011329651,0.4439607262611389,21.741241216659546,41.938647627830505,0.01,0.02,0.12366855405271053,0.1285172387957573,0.2708646148443222,0.2732417106628418,0.03,0.75,0.03,0.75,0.00013246117830276516,0.26,B_CL,full,-0.29125213623046875,0.5475208163261414,-0.29125213623046875,0.5475208163261414,-0.41504358701800775,0.4579490098251652
20,HB_CL,691.033333,691.366666,0.333333,691.04,691.05,0.01,0.006666999999993095,-0.31666600000005474,69104,69105,69104.0,69103,69136,True,69104,69105,69098,69141,690.98,691.41,True,False,0.0,0,691.0369441954998,691.0417817972722,69104.0,69104.0,True,True,True,False,False,0.26,0,HB_CL,0.2566775550896471,0.2627324014902115,0.03543443387804309,0.0012555991042574079,0.02792198956012726,0.06736346334218979,-0.3196689391750343,1.7219841166672525,0.2592427432537079,0.30818411707878113,691.04,0.2965819537639618,0.037339210510253906,0.424996018409729,0.424996018409729,0.424996018409729,0.424996018409729,0.424996018409729,0.424996018409729,0.0,0.0,0.0,0.01,0.2052719049155712,0.20578264594078063,0.29907611906528475,0.3049327120184898,0.01,0.5,0.01,0.5,7.572567462921231e-06,0.26,HB_CL,full,,0.424996018409729,,0.424996018409729,-0.24780929089376827,0.42499601840591894
21,HB_M,714.1,714.4,0.3,714.17,714.34,0.17,0.06999999999993634,-0.05999999999994543,71417,71434,71420.0,71410,71440,True,71417,71434,71405,71445,714.05,714.45,True,False,0.0,0,714.1629525910795,714.3375441360421,71416.0,71434.0,True,True,True,False,False,0.26,0,HB_M,0.25374481238816915,0.2590281218290329,0.022786743523354584,0.000519235680399142,0.015822522342205048,0.033559441566467285,-0.19736647546626082,2.1714675928041425,0.20883587002754211,0.2945803999900818,714.2,0.28290547132492067,0.07406960129737855,-1.7599999904632568,1.0031715035438538,-1.7599999904632568,1.0031715035438538,-1.2584548443555832,0.33434033393859863,-57.16539919376373,89.44079279899597,0.03,0.14,0.2163561299443245,0.22387757003307343,0.2849143445491791,0.2886749804019928,0.17,0.9444444444444444,0.17,0.9444444444444444,0.004671216142177584,0.26,HB_M,full,-1.412782073020935,0.3731314625058855,-1.412782073020935,0.3731314625058855,-1.3810447603008322,0.37198336072153876
22,HB_M,718.733333,719.033333,0.3,718.77,718.99,0.22,0.03666699999996581,-0.04333299999996143,71877,71899,71884.0,71873,71903,True,71877,71899,71868,71908,718.68,719.08,True,False,0.0,0,718.7608162975039,718.9876891651847,71876.0,71899.0,True,True,True,False,False,0.26,0,HB_M,0.2528716103975163,0.2533559203147888,0.03160838361200183,0.0009990899145634656,0.02893167734146118,0.055478863418102264,0.13773847588005445,1.7874181093530148,0.20657044649124146,0.30938780307769775,718.84,0.2887142074108124,0.08214376091957093,-1.3334646821022034,2.7191266417503357,-1.3334646821022034,2.7191266417503357,-0.5156148225069046,0.45364582911133766,-104.63584214448929,138.67739588022232,0.07,0.15,0.209456205368042,0.21058208346366883,0.3004216313362122,0.3027440458536148,0.22,0.9565217391304348,0.22,0.9565217391304348,0.007484896790981296,0.26,HB_M,full,-0.5579833473478044,0.3980867067972819,-0.5579833473478044,0.3980867067972819,-0.6747544232521177,0.3617702994118357
23,HB_M,720.733333,721.133333,0.4,720.79,721.01,0.22,0.05666699999994762,-0.12333300000000236,72079,72101,72085.0,72073,72113,True,72079,72101,72068,72118,720.68,721.18,True,False,0.0,0,720.7817725298675,721.0034530925739,72078.0,72100.0,True,True,True,False,False,0.26,0,HB_M,0.2582570234703463,0.25822868943214417,0.018891737754299292,0.0003568977553772173,0.011861741542816162,0.0226903036236763,0.01956186700431788,2.7240791647396723,0.2194414734840393,0.3028016984462738,720.85,0.286320823431015,0.0668793499469757,-1.2351594865322113,1.2470409274101257,-1.2351594865322113,1.2470409274101257,-0.5027451685496739,0.2682020559030421,-76.21511816978455,87.68513798713684,0.06,0.16,0.2282673880457878,0.23113896548748017,0.282258129119873,0.2893031597137451,0.22,0.9565217391304348,0.22,0.9565217391304348,0.003497111064195635,0.26,HB_M,full,-0.6604115168253581,0.27448032051324844,-0.6604115168253581,0.27448032051324844,-0.5944603608656944,0.26430569652054514
24,HB_CL,731.8,732.1999999999999,0.4,731.84,732.1,0.26,0.04000000000007731,-0.09999999999990905,73184,73210,73191.0,73180,73220,True,73184,73210,73175,73225,731.75,732.25,True,False,0.0,0,731.8355831050715,732.0992332818339,73184.0,73210.0,True,True,True,False,False,0.26,0,HB_CL,0.24616192629996766,0.24746866524219513,0.03962788073466817,0.0015703689315210848,0.037908002734184265,0.07230746746063232,-0.3001989812786543,1.6737259433576759,0.18087628483772278,0.2963966131210327,731.91,0.2877720856666565,0.10689580082893374,-1.4198698103427887,1.6264408826828003,-1.4198698103427887,1.6264408826828003,-0.98473085090518,0.4014234244823456,-72.56235927343369,72.35635071992874,0.07,0.19,0.18407915234565736,0.1874072790145874,0.2940883994102478,0.2951939195394516,0.26,0.9629629629629629,0.26,0.9629629629629629,0.01159918228387833,0.26,HB_CL,full,-1.0701720203672136,0.419655442237854,-1.0701720203672136,0.419655442237854,-1.0632493500070823,0.41812790221391094
25,B_CL,746.4,746.966667,0.566667,746.4,746.44,0.04,0.0,-0.5266669999999749,74640,74644,74642.0,74640,74697,True,74640,74644,74635,74702,746.35,747.02,True,False,0.0,0,746.3991744917515,746.4385017944004,74640.0,74644.0,True,True,True,False,False,0.26,0,B_CL,0.23660845279693604,0.2579502761363983,0.04434557096801353,0.0019665296644791243,0.013387024402618408,0.05059787631034851,-1.2309875165874538,3.0473023595854456,0.2551700174808502,0.2728022336959839,746.42,0.2680803644657135,0.012910346984863263,-0.395733118057251,0.26068389415740967,-0.395733118057251,0.26068389415740967,-0.16746819019317627,0.20956695079803467,-0.45806169509887695,25.38233995437622,0.02,0.02,0.1452047646045685,0.16150375604629516,0.2724185883998871,0.2727100312709808,0.04,0.8,0.04,0.8,0.00011881210803985632,0.26,B_CL,full,-0.21858513355255127,0.26068389415740967,-0.21858513355255127,0.26068389415740967,-0.23192627337258875,0.26105481525813695
